vcn,byte,bit,set start,set end,clear start,clear end
347,43,3,11111000,00001111,00000111,11110000
348,43,4,11110000,00011111,00001111,11100000
349,43,5,11100000,00111111,00011111,11000000
350,43,6,11000000,01111111,00111111,10000000
351,43,7,10000000,11111111,011111111,00000000
352,44,0,11111111,00000001,00000000,11111110
353,44,1,11111110,00000011,00000001,11111100
354,44,2,11111100,00000111,00000011,11111000
355,44,3,11111000,00001111,00000111,11110000
356,44,4,11110000,00011111,00001111,11100000
357,44,5,11100000,00111111,00011111,11000000
358,44,6,11000000,01111111,00111111,10000000
359,44,7,10000000,11111111,011111111,00000000
360,45,0,11111111,00000001,00000000,11111110
361,45,1,11111110,00000011,00000001,11111100
362,45,2,11111100,00000111,00000011,11111000
363,45,3,11111000,00001111,00000111,11110000
364,45,4,11110000,00011111,00001111,11100000
365,45,5,11100000,00111111,00011111,11000000
366,45,6,11000000,01111111,00111111,10000000
367,45,7,10000000,11111111,011111111,00000000
368,46,0,11111111,00000001,00000000,11111110
369,46,1,11111110,00000011,00000001,11111100
370,46,2,11111100,00000111,00000011,11111000
371,46,3,11111000,00001111,00000111,11110000
372,46,4,11110000,00011111,00001111,11100000
373,46,5,11100000,00111111,00011111,11000000
374,46,6,11000000,01111111,00111111,10000000
375,46,7,10000000,11111111,011111111,00000000
376,47,0,11111111,00000001,00000000,11111110
377,47,1,11111110,00000011,00000001,11111100
378,47,2,11111100,00000111,00000011,11111000
379,47,3,11111000,00001111,00000111,11110000
380,47,4,11110000,00011111,00001111,11100000
381,47,5,11100000,00111111,00011111,11000000
382,47,6,11000000,01111111,00111111,10000000
383,47,7,10000000,11111111,011111111,00000000
384,48,0,11111111,00000001,00000000,11111110
385,48,1,11111110,00000011,00000001,11111100
386,48,2,11111100,00000111,00000011,11111000
387,48,3,11111000,00001111,00000111,11110000
388,48,4,11110000,00011111,00001111,11100000
389,48,5,11100000,00111111,00011111,11000000
390,48,6,11000000,01111111,00111111,10000000
391,48,7,10000000,11111111,011111111,00000000
392,49,0,11111111,00000001,00000000,11111110
393,49,1,11111110,00000011,00000001,11111100
394,49,2,11111100,00000111,00000011,11111000
395,49,3,11111000,00001111,00000111,11110000
396,49,4,11110000,00011111,00001111,11100000
397,49,5,11100000,00111111,00011111,11000000
398,49,6,11000000,01111111,00111111,10000000
399,49,7,10000000,11111111,011111111,00000000
400,50,0,11111111,00000001,00000000,11111110
401,50,1,11111110,00000011,00000001,11111100
402,50,2,11111100,00000111,00000011,11111000
403,50,3,11111000,00001111,00000111,11110000
404,50,4,11110000,00011111,00001111,11100000
405,50,5,11100000,00111111,00011111,11000000
406,50,6,11000000,01111111,00111111,10000000
407,50,7,10000000,11111111,011111111,00000000
408,51,0,11111111,00000001,00000000,11111110
409,51,1,11111110,00000011,00000001,11111100
410,51,2,11111100,00000111,00000011,11111000
411,51,3,11111000,00001111,00000111,11110000
412,51,4,11110000,00011111,00001111,11100000
413,51,5,11100000,00111111,00011111,11000000
414,51,6,11000000,01111111,00111111,10000000
415,51,7,10000000,11111111,011111111,00000000
416,52,0,11111111,00000001,00000000,11111110
417,52,1,11111110,00000011,00000001,11111100
418,52,2,11111100,00000111,00000011,11111000
419,52,3,11111000,00001111,00000111,11110000
420,52,4,11110000,00011111,00001111,11100000
421,52,5,11100000,00111111,00011111,11000000
422,52,6,11000000,01111111,00111111,10000000
423,52,7,10000000,11111111,011111111,00000000
424,53,0,11111111,00000001,00000000,11111110
425,53,1,11111110,00000011,00000001,11111100
426,53,2,11111100,00000111,00000011,11111000
427,53,3,11111000,00001111,00000111,11110000
428,53,4,11110000,00011111,00001111,11100000
429,53,5,11100000,00111111,00011111,11000000
430,53,6,11000000,01111111,00111111,10000000
431,53,7,10000000,11111111,011111111,00000000
432,54,0,11111111,00000001,00000000,11111110
433,54,1,11111110,00000011,00000001,11111100
434,54,2,11111100,00000111,00000011,11111000
435,54,3,11111000,00001111,00000111,11110000
436,54,4,11110000,00011111,00001111,11100000
437,54,5,11100000,00111111,00011111,11000000
438,54,6,11000000,01111111,00111111,10000000
439,54,7,10000000,11111111,011111111,00000000
440,55,0,11111111,00000001,00000000,11111110
441,55,1,11111110,00000011,00000001,11111100
442,55,2,11111100,00000111,00000011,11111000
443,55,3,11111000,00001111,00000111,11110000
444,55,4,11110000,00011111,00001111,11100000
445,55,5,11100000,00111111,00011111,11000000
446,55,6,11000000,01111111,00111111,10000000
447,55,7,10000000,11111111,011111111,00000000
448,56,0,11111111,00000001,00000000,11111110
449,56,1,11111110,00000011,00000001,11111100
450,56,2,11111100,00000111,00000011,11111000
451,56,3,11111000,00001111,00000111,11110000
452,56,4,11110000,00011111,00001111,11100000
453,56,5,11100000,00111111,00011111,11000000
454,56,6,11000000,01111111,00111111,10000000
455,56,7,10000000,11111111,011111111,00000000
456,57,0,11111111,00000001,00000000,11111110
457,57,1,11111110,00000011,00000001,11111100
458,57,2,11111100,00000111,00000011,11111000
459,57,3,11111000,00001111,00000111,11110000
460,57,4,11110000,00011111,00001111,11100000
461,57,5,11100000,00111111,00011111,11000000
462,57,6,11000000,01111111,00111111,10000000
463,57,7,10000000,11111111,011111111,00000000
464,58,0,11111111,00000001,00000000,11111110
465,58,1,11111110,00000011,00000001,11111100
466,58,2,11111100,00000111,00000011,11111000
467,58,3,11111000,00001111,00000111,11110000
468,58,4,11110000,00011111,00001111,11100000
469,58,5,11100000,00111111,00011111,11000000
470,58,6,11000000,01111111,00111111,10000000
471,58,7,10000000,11111111,011111111,00000000
472,59,0,11111111,00000001,00000000,11111110
473,59,1,11111110,00000011,00000001,11111100
474,59,2,11111100,00000111,00000011,11111000
475,59,3,11111000,00001111,00000111,11110000
476,59,4,11110000,00011111,00001111,11100000
477,59,5,11100000,00111111,00011111,11000000
478,59,6,11000000,01111111,00111111,10000000
479,59,7,10000000,11111111,011111111,00000000
480,60,0,11111111,00000001,00000000,11111110
481,60,1,11111110,00000011,00000001,11111100
482,60,2,11111100,00000111,00000011,11111000
483,60,3,11111000,00001111,00000111,11110000
484,60,4,11110000,00011111,00001111,11100000
485,60,5,11100000,00111111,00011111,11000000
486,60,6,11000000,01111111,00111111,10000000
487,60,7,10000000,11111111,011111111,00000000
488,61,0,11111111,00000001,00000000,11111110
489,61,1,11111110,00000011,00000001,11111100
490,61,2,11111100,00000111,00000011,11111000
491,61,3,11111000,00001111,00000111,11110000
492,61,4,11110000,00011111,00001111,11100000
493,61,5,11100000,00111111,00011111,11000000
